input_;output_
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Yüzme dalı eklemek istiyorum""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Yüzme"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Yüzme olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Voleybol branşını sisteme ekle""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Voleybol"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Voleybol olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Tenis branşı olsun""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Tenis"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Tenis olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Yeni branş olarak karate ekle""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Karate"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Karate olarak ayarlandı"",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Boks branşı oluştur""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Boks"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Boks olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Kayak isminde branş ekler misin""
}
";"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Kayak"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Branş adı Kayak olarak ayarlandı."",
  ""userMessage"": """"
}
"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": """" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Basketbol"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Lütfen eksik alanları doldurun."",
  ""userMessage"": ""Yeni basketbolcu kaydı""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Elif"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Kara"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2000.10.12"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Basketbol"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Sporcu başarıyla oluşturuldu. İşlem tamamlandı."",
  ""userMessage"": ""Elif, Kaya, 2000.10.12""
}
"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Deniz"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Aydın"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": """" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Yüzme"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Doğum tarihi zorunludur.Eksik doğum tarihi!"",
  ""userMessage"": ""2001.02.15""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Deniz"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Aydın"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": """" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Yüzme"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""İşlem başarılı!"",
  ""userMessage"": """"
}
"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Mehmet"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Demir"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1988-03-15"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": false },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Futbol"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Sporcu kaydı pasif durumda."",
  ""userMessage"": ""sporcu pasif yap""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Mehmet"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Demir"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1988-03-15"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": false },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Futbol"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Pasif sporcu kaydı işlendi."",
  ""userMessage"": ""Pasif sporcu kaydı""
}
"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ozan"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Arslan"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1998.07.07"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Branş adı zorunludur.Branş bilgisi eksik."",
  ""userMessage"": ""Futbol""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ozan"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Arslan"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1998.07.07"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Futbol"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Branş adı Futbol olarak kaydedildi."",
  ""userMessage"": """"
}
"
{“endpoint”:“api/Athlete/AthleteCreate”,“fields”:[{“name”:“Name”,“type”:“string”,“required”:true,“value”:“”},{“name”:“Surname”,“type”:“string”,“required”:true,“value”:“”},{“name”:“BirthDate”,“type”:“DateTime”,“required”:true,“value”:“”},{“name”:“State”,“type”:“bool”,“required”:true,“value”:“”},{“name”:“Branch_Name”,“type”:“string”,“required”:true,“value”:“”}],“status”:false,“modelMessage”:“JSON da düzenleme yapabilmek için cevaplarınızı giriniz.”,“userMessage”:“beyza isimli sporcu ekle”};"{
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Beyza""
    },
    {
      ""name"": ""Surname"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    },
    {
      ""name"": ""BirthDate"",
      ""type"": ""DateTime"",
      ""required"": true,
      ""value"": """"
    },
    {
      ""name"": ""State"",
      ""type"": ""bool"",
      ""required"": true,
      ""value"": false
    },
    {
      ""name"": ""Branch_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": """"
    }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Lütfen sporcunuz için aşağıdaki bilgileri sağlayınız: soyadı, doğum tarihi ve branş ismi.""
}"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": """" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": false,
  ""modelMessage"": ""Lütfen eksik alanları doldurun."",
  ""userMessage"": ""Yeni atlet kaydı""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ahmet"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Yılmaz"" },
    { ""name"": ""IdentityNumber"", ""type"": ""string"", ""required"": false, ""value"": ""12345678901"" },
    { ""name"": ""BirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1995.05.20"" },
    { ""name"": ""Phone"", ""type"": ""string"", ""required"": false, ""value"": ""05551234567"" },
    { ""name"": ""Address"", ""type"": ""string"", ""required"": false, ""value"": ""İstanbul"" },
    { ""name"": ""Email"", ""type"": ""string"", ""required"": false, ""value"": ""ahmet.yilmaz@example.com"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""Note"", ""type"": ""string"", ""required"": false, ""value"": ""Profesyonel atlet"" },
    { ""name"": ""LicenseNumber"", ""type"": ""string"", ""required"": false, ""value"": ""LIC1234"" },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Atletizm"" }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""Sporcu başarıyla oluşturuldu. İşlem tamamlandı.""
  ""userMessage"": ""Ahmet, Yılmaz, 2345678901, 1995.05.20, 05551234567, İstanbul, Profesyonel atlet, LIC1234, Atletizm""
}
"
"{
  ""endpoint"": ""api/AthleteStatistic/AthleteStatisticCreate"",
  ""fields"": [
    { ""name"": ""StatisticDate"", ""type"": ""DateTime"", ""required"": true, ""value"": """" },
    { ""name"": ""Athlete_Name"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""AthleteStatisticType_Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""Yapmamı istediğiniz işlem nedir?"",
  ""userMessage"": ""Zeynep Koç'un 100m koşu süresi istatistiğini ayarlar""
}
";"{
  ""endpoint"": ""api/AthleteStatistic/AthleteStatisticCreate"",
  ""fields"": [
    { ""name"": ""StatisticDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2025-07-21T09:00:00"" },
    { ""name"": ""Athlete_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Zeynep Koç"" },
    { ""name"": ""AthleteStatisticType_Name"", ""type"": ""string"", ""required"": true, ""value"": ""100m Koşu Süresi (s)"" }
  ],
  ""status"": true,
  ""modelMessage"": ""Zeynep Koç'un 100m koşu değerini giriniz."",
  ""userMessage"": ""Zeynep Koç için 100m koşu süresi 14 saniye olarak ayarla""
}
"

"{
  ""endpoint"": ""api/Log/LogCreate"",
  ""fields"": [
    { ""name"": ""Message"", ""type"": ""string"", ""required"": true, ""value"": """" },
    { ""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""admin kullanıcısının giriş mesajını kaydet""
}
";"{
  ""fields"": [
    { ""name"": ""Message"", ""type"": ""string"", ""required"": false, ""value"": ""Admin kullanıcı girişi başarılı."" },
    { ""name"": ""Username"", ""type"": ""string"", ""required"": false, ""value"": ""admin"" }
  ],
  ""endpoint"": ""api/Log/LogCreate"",
  ""status"": true,
  ""modelMessage"": ""admin kullanıcısının giriş mesajını kaydedildi."",
  ""userMessage"": """"
}
"
"{
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """" }
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Çatışma isminde bir branş ekle""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Çatışma"" }
  ],
  ""endpoint"": ""api/Branch/BranchCreate"",
  ""status"": true,
  ""modelMessage"": ""Çatışma isminde bir branş eklendi."",
  ""userMessage"": """"
}
"
{“fields”:[{“name”:“Name”,“type”:“string”,“required”:true,“value”:“Beyza”},{“name”:“Surname”,“type”:“string”,“required”:true,“value”:“”},{“name”:“BirthDate”,“type”:“DateTime”,“required”:true,“value”:“”},{“name”:“State”,“type”:“bool”,“required”:true,“value”:false},{“name”:“Branch_Name”,“type”:“string”,“required”:true,“value”:“”}],“endpoint”:“api/Athlete/AthleteCreate”,“status”:false,“modelMessage”:“Lütfen sporcunuz için aşağıdaki bilgileri sağlayınız: soyadı, doğum tarihi ve branş ismi.”,“userMessage”:“soyadı yıldırım, 15.02.1998 voleybol”};"{
  ""fields"": [
    {
      ""name"": ""Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Beyza""
    },
    {
      ""name"": ""Surname"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Yıldırım""
    },
    {
      ""name"": ""BirthDate"",
      ""type"": ""DateTime"",
      ""required"": true,
      ""value"": ""1998-02-15""
    },
    {
      ""name"": ""State"",
      ""type"": ""bool"",
      ""required"": true,
      ""value"": false
    },
    {
      ""name"": ""Branch_Name"",
      ""type"": ""string"",
      ""required"": true,
      ""value"": ""Voleybol""
    }
  ],
  ""endpoint"": ""api/Athlete/AthleteCreate"",
  ""status"": true,
  ""modelMessage"": ""completed""
}"
"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ahmet"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Yılmaz"" },
    { ""name"": ""FilterFromBirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1990-01-01"" },
    { ""name"": ""FilterToBirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2000-12-31"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""FilterFromCreateDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2022-01-01"" },
    { ""name"": ""FilterToCreateDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2024-01-01"" },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Atletizm"" },
    { ""name"": ""Company_Name"", ""type"": ""string"", ""required"": true, ""value"": ""XYZ Spor Kulübü"" }
  ],
  ""endpoint"": ""api/Athlete/GetFilteredAthleteList"",
  ""status"": false,
  ""modelMessage"": ""Lütfen filtre alanlarını doldurun."",
  ""userMessage"": ""Ahmet Yılmaz için filtreleme""
}
";"{
  ""fields"": [
    { ""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Ahmet"" },
    { ""name"": ""Surname"", ""type"": ""string"", ""required"": true, ""value"": ""Yılmaz"" },
    { ""name"": ""FilterFromBirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""1990-01-01"" },
    { ""name"": ""FilterToBirthDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2000-12-31"" },
    { ""name"": ""State"", ""type"": ""bool"", ""required"": true, ""value"": true },
    { ""name"": ""FilterFromCreateDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2022-01-01"" },
    { ""name"": ""FilterToCreateDate"", ""type"": ""DateTime"", ""required"": true, ""value"": ""2024-01-01"" },
    { ""name"": ""Branch_Name"", ""type"": ""string"", ""required"": true, ""value"": ""Atletizm"" },
    { ""name"": ""Company_Name"", ""type"": ""string"", ""required"": true, ""value"": ""XYZ Spor Kulübü"" }
  ],
  ""endpoint"": ""api/Athlete/GetFilteredAthleteList"",
  ""status"": true,
  ""modelMessage"": ""Filtreleme başarılı. 3 kayıt bulundu."",
  ""userMessage"": ""Ahmet Yılmaz için filtreleme""
}
"
"{
  ""endpoint"": ""api/User/UserCreate"",
  ""fields"": [
    {""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": """"},
    {""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": """"}
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""Yeni kullanıcı oluştur, adı ahmet, şifresi 12345""
}
";"{
  ""fields"": [
    {""name"": ""Username"", ""type"": ""string"", ""required"": true, ""value"": ""ahmet""},
    {""name"": ""Password"", ""type"": ""string"", ""required"": true, ""value"": ""12345""}
  ],
  ""endpoint"": ""api/User/UserCreate"",
  ""status"": true,
  ""modelMessage"": ""Yeni Ahmet isimli kullanıcı oluşturuldu."",
  ""userMessage"": ""Yeni kullanıcı oluştur, adı ahmet, şifresi 12345""
}
"
"{
  ""endpoint"": ""api/Branch/BranchUpdate"",
  ""fields"": [
    {""name"": ""BranchId"", ""type"": ""int"", ""required"": true, ""value"": """"},
    {""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": """"}
  ],
  ""status"": false,
  ""modelMessage"": ""JSON da düzenleme yapabilmek için cevaplarınızı giriniz."",
  ""userMessage"": ""5 numaralı şubenin ismini Operasyon olarak güncelle""
}
";"{
  ""fields"": [
    {""name"": ""BranchId"", ""type"": ""int"", ""required"": true, ""value"": 5},
    {""name"": ""Name"", ""type"": ""string"", ""required"": true, ""value"": ""Operasyon""}
  ],
  ""endpoint"": ""api/Branch/BranchUpdate"",
  ""status"": true,
  ""modelMessage"": ""Güncelleme işlemi başarıyla gerçekleştirildi."",
  ""userMessage"": ""5 numaralı şubenin ismini Operasyon olarak güncelle""
}
"
